benchmark,runtime,run_index,elapsed_time_ns,score,return_code
visual6502remix,wasmedge-aot,1,19693049,0,0
boa,wizard,1,73004687,0,0
commanderkeen,wizard,1,396797062,0,0
ffmpeg,wizard,1,83135857,0,0
fib,wizard,1,26280303857,0,0
figma-startpage,wizard,1,6526942,0,0
funky-kart,wizard,1,509573692,0,0
game-of-life,wizard,1,2371381,0,0
guiicons,wizard,1,61523247,0,0
handy-tools,wizard,1,52169310,0,0
heatmap,wizard,1,14238482704,0,0
jsc,wizard,1,100535648,0,0
kittygame,wizard,1,240102766,0,0
multiplyDouble,wizard,1,26488132444,0,0
multiplyInt,wizard,1,25801444981,0,0
ogv,wizard,1,2072519,0,0
pathfinding,wizard,1,1913124235,0,0
riconpacker,wizard,1,21240138,0,0
rtexviewer,wizard,1,6615007,0,0
sandspiel,wizard,1,1851347328,0,0
sqlgui,wizard,1,18108039,0,0
uarm,wizard,1,1279956875,0,0
video,wizard,1,2602903,0,0
visual6502remix,wizard,1,24530930,0,0
boa,wizard-int,1,63214893,0,0
commanderkeen,wizard-int,1,394110998,0,0
ffmpeg,wizard-int,1,82722121,0,0
fib,wizard-int,1,26274351585,0,0
figma-startpage,wizard-int,1,5368257,0,0
funky-kart,wizard-int,1,508175913,0,0
game-of-life,wizard-int,1,2257073,0,0
guiicons,wizard-int,1,69829138,0,0
handy-tools,wizard-int,1,53934908,0,0
heatmap,wizard-int,1,14058159970,0,0
jsc,wizard-int,1,98701366,0,0
kittygame,wizard-int,1,240512649,0,0
multiplyDouble,wizard-int,1,26477652943,0,0
multiplyInt,wizard-int,1,25772087610,0,0
ogv,wizard-int,1,1943026,0,0
pathfinding,wizard-int,1,1911088919,0,0
riconpacker,wizard-int,1,23888474,0,0
rtexviewer,wizard-int,1,9196795,0,0
sandspiel,wizard-int,1,1850395004,0,0
sqlgui,wizard-int,1,17529602,0,0
uarm,wizard-int,1,1278912779,0,0
video,wizard-int,1,2515435,0,0
visual6502remix,wizard-int,1,25877707,0,0
boa,wizard-dyn,1,65214982,0,0
commanderkeen,wizard-dyn,1,147140330,0,0
ffmpeg,wizard-dyn,1,84867747,0,0
fib,wizard-dyn,1,3301950685,0,0
figma-startpage,wizard-dyn,1,5756889,0,0
funky-kart,wizard-dyn,1,202503196,0,0
game-of-life,wizard-dyn,1,2438501,0,0
guiicons,wizard-dyn,1,32748270,0,0
handy-tools,wizard-dyn,1,79203111,0,0
heatmap,wizard-dyn,1,14183580927,0,0
jsc,wizard-dyn,1,181621423,0,0
kittygame,wizard-dyn,1,32747693,0,0
multiplyDouble,wizard-dyn,1,5939748518,0,0
multiplyInt,wizard-dyn,1,1650521500,0,0
ogv,wizard-dyn,1,2156726,0,0
pathfinding,wizard-dyn,1,965246237,0,0
riconpacker,wizard-dyn,1,31332657,0,0
rtexviewer,wizard-dyn,1,7425328,0,0
sandspiel,wizard-dyn,1,109278543,0,0
sqlgui,wizard-dyn,1,48587041,0,0
uarm,wizard-dyn,1,952103962,0,0
video,wizard-dyn,1,2414732,0,0
visual6502remix,wizard-dyn,1,28013330,0,0
boa,wizard-lazy,1,66360649,0,0
commanderkeen,wizard-lazy,1,180660954,0,0
ffmpeg,wizard-lazy,1,87263846,0,0
fib,wizard-lazy,1,3285047477,0,0
figma-startpage,wizard-lazy,1,8915252,0,0
funky-kart,wizard-lazy,1,415660004,0,0
game-of-life,wizard-lazy,1,1976598,0,0
guiicons,wizard-lazy,1,39329825,0,0
handy-tools,wizard-lazy,1,78324721,0,0
heatmap,wizard-lazy,1,14331103935,0,0
jsc,wizard-lazy,1,209074471,0,0
kittygame,wizard-lazy,1,34672162,0,0
multiplyDouble,wizard-lazy,1,5949484698,0,0
multiplyInt,wizard-lazy,1,1626224818,0,0
ogv,wizard-lazy,1,2001075,0,0
pathfinding,wizard-lazy,1,956561913,0,0
riconpacker,wizard-lazy,1,32774393,0,0
rtexviewer,wizard-lazy,1,9174517,0,0
sandspiel,wizard-lazy,1,121082499,0,0
sqlgui,wizard-lazy,1,51931296,0,0
uarm,wizard-lazy,1,2186911446,0,0
video,wizard-lazy,1,2677050,0,0
visual6502remix,wizard-lazy,1,30805217,0,0
boa,wizard-jit,1,395568287,0,0
commanderkeen,wizard-jit,1,311746909,0,0
ffmpeg,wizard-jit,1,580205106,0,0
fib,wizard-jit,1,3304532233,0,0
figma-startpage,wizard-jit,1,26419287,0,0
funky-kart,wizard-jit,1,403006750,0,0
game-of-life,wizard-jit,1,2595544,0,0
guiicons,wizard-jit,1,51190191,0,0
handy-tools,wizard-jit,1,163378313,0,0
heatmap,wizard-jit,1,14112356673,0,0
jsc,wizard-jit,1,669518985,0,0
kittygame,wizard-jit,1,32704151,0,0
multiplyDouble,wizard-jit,1,5923293590,0,0
multiplyInt,wizard-jit,1,1682340762,0,0
ogv,wizard-jit,1,2009405,0,0
pathfinding,wizard-jit,1,954406475,0,0
riconpacker,wizard-jit,1,51293322,0,0
rtexviewer,wizard-jit,1,36636794,0,0
sandspiel,wizard-jit,1,119131968,0,0
sqlgui,wizard-jit,1,78586207,0,0
uarm,wizard-jit,1,0,0,255
video,wizard-jit,1,4556132,0,0
visual6502remix,wizard-jit,1,108920190,0,0
boa,wizard-spc,1,400182668,0,0
commanderkeen,wizard-spc,1,321166222,0,0
ffmpeg,wizard-spc,1,583467351,0,0
fib,wizard-spc,1,3299213809,0,0
figma-startpage,wizard-spc,1,22933219,0,0
funky-kart,wizard-spc,1,400004368,0,0
game-of-life,wizard-spc,1,2362598,0,0
guiicons,wizard-spc,1,52026515,0,0
handy-tools,wizard-spc,1,163481034,0,0
heatmap,wizard-spc,1,14108306781,0,0
jsc,wizard-spc,1,668901428,0,0
kittygame,wizard-spc,1,33653712,0,0
multiplyDouble,wizard-spc,1,5956150428,0,0
multiplyInt,wizard-spc,1,1681200329,0,0
ogv,wizard-spc,1,2285369,0,0
pathfinding,wizard-spc,1,982369809,0,0
riconpacker,wizard-spc,1,49824797,0,0
rtexviewer,wizard-spc,1,37405490,0,0
sandspiel,wizard-spc,1,122075162,0,0
sqlgui,wizard-spc,1,82071402,0,0
uarm,wizard-spc,1,0,0,255
video,wizard-spc,1,15853324,0,0
visual6502remix,wizard-spc,1,109891290,0,0
boa,spidermonkey,1,47504993,0,0
commanderkeen,spidermonkey,1,46703472,0,0
ffmpeg,spidermonkey,1,36813897,0,0
fib,spidermonkey,1,1473712596,0,0
figma-startpage,spidermonkey,1,13138863,0,0
funky-kart,spidermonkey,1,79612715,0,0
game-of-life,spidermonkey,1,10124281,0,0
guiicons,spidermonkey,1,15523499,0,0
handy-tools,spidermonkey,1,32692963,0,0
heatmap,spidermonkey,1,9299708617,0,0
jsc,spidermonkey,1,54379970,0,0
kittygame,spidermonkey,1,26360386,0,0
multiplyDouble,spidermonkey,1,4556711940,0,0
multiplyInt,spidermonkey,1,1635950001,0,0
ogv,spidermonkey,1,8828644,0,0
pathfinding,spidermonkey,1,722596234,0,0
riconpacker,spidermonkey,1,14843615,0,0
rtexviewer,spidermonkey,1,14627266,0,0
sandspiel,spidermonkey,1,75189725,0,0
sqlgui,spidermonkey,1,14845018,0,0
uarm,spidermonkey,1,266743898,0,0
video,spidermonkey,1,9930196,0,0
visual6502remix,spidermonkey,1,21396394,0,0
2mm,wasm3,1,9375307915,0,0
3mm,wasm3,1,1501508956,0,0
adi,wasm3,1,23377616906,0,0
atax,wasm3,1,197503811,0,0
bicg,wasm3,1,174769433,0,0
cholesky,wasm3,1,63812047810,0,0
correlation,wasm3,1,165375128,0,0
covariance,wasm3,1,151947745,0,0
doitgen,wasm3,1,3313016019,0,0
durbin,wasm3,1,158073689,0,0
fdtd-2d,wasm3,1,17655809186,0,0
floyd-warshall,wasm3,1,203634547327,0,0
gemm,wasm3,1,8248414115,0,0
gemver,wasm3,1,238721160,0,0
gesummv,wasm3,1,141054480,0,0
gramschmidt,wasm3,1,8385814033,0,0
heat-3d,wasm3,1,30933531866,0,0
jacobi-1d,wasm3,1,147991052,0,0
jacobi-2d,wasm3,1,20869490315,0,0
lu,wasm3,1,74060294316,0,0
ludcmp,wasm3,1,73013244731,0,0
mvt,wasm3,1,201319419,0,0
nussinov,wasm3,1,20541220682,0,0
seidel-2d,wasm3,1,30840003483,0,0
symm,wasm3,1,6340476451,0,0
syr2k,wasm3,1,7867027271,0,0
syrk,wasm3,1,5198038157,0,0
trisolv,wasm3,1,155780393,0,0
trmm,wasm3,1,4017546339,0,0
2mm,jsc,1,954289658,0,0
3mm,jsc,1,272158429,0,0
adi,jsc,1,5536549154,0,0
atax,jsc,1,27781690,0,0
bicg,jsc,1,25590564,0,0
cholesky,jsc,1,9313283808,0,0
correlation,jsc,1,20234648,0,0
covariance,jsc,1,17541290,0,0
doitgen,jsc,1,223970584,0,0
